Institution_Name,Institution_Address,Institution_City,Institution_State
Deep Springs College,"Deep Springs Ranch Road, Highway 168",Big Pine,CA
Dell'Arte International School of Physical Theatre,131 H Street,Blue Lake,CA
College of the Desert,43-500 Monterey Ave,Palm Desert,CA
Design Institute of San Diego,8555 Commerce Ave,San Diego,CA
Kasson Adult School - Deuel Vocational Institution,23500 Kasson Road,Tracy,CA
Diablo Valley College,321 Golf Club Rd,Pleasant Hill,CA
Dominican University of California,50 Acacia Ave,San Rafael,CA
Dominican School of Philosophy and Theology,2301 Vine Street,Berkeley,CA
Don Bosco Technical Institute,1151 San Gabriel Blvd,Rosemead,CA
East Los Angeles College,1301 Ave Cesar Chavez,Monterey Park,CA
East Los Angeles Occupational Center,2100 Marengo Street,Los Angeles,CA
Marinello School of Beauty - Santa Clara,955 Monroe Street,Santa Clara,CA
SDCCD Continuing Education,4343 Ocean View Blvd,San Diego,CA
El Camino College,16007 Crenshaw Blvd,Torrance,CA
Elegance International,1622 N. Highland Ave,Hollywood,CA
Marinello School of Beauty - Burbank,200 North San Fernando Boulevard,Burbank,CA
Marinello School of Beauty - Moreno Valley,24741 Alessandro Blvd,Moreno Valley,CA
Emperor's College of Traditional Oriental Medicine,"1807-B Wilshire Blvd, Ste #200",Santa Monica,CA
Empire College,3035 Cleveland Ave,Santa Rosa,CA
Evergreen Valley College,3095 Yerba Buena Rd,San Jose,CA
FIDM/Fashion Institute of Design & Merchandising,919 South Grand Avenue,Los Angeles,CA
Fashion Careers College,1923 Morena Blvd,San Diego,CA
Feather River College,570 Golden Eagle Ave,Quincy,CA
Federico Beauty Institute,1515 Sports Drive    Ste 100,Sacramento,CA
Fielding Graduate University,2112 Santa Barbara St,Santa Barbara,CA
"Five Branches University:  Graduate School of Traditional Chinese Medicine - Santa Cruz, CA",200 7th Avenue,Santa Cruz,CA
Hair California Beauty Academy,1110 N Tustin St,Orange,CA
Foothill College,12345 El Monte Rd,Los Altos Hills,CA
Franciscan School of Theology,4050 Mission Avenue,Oceanside,CA
Fredrick and Charles Beauty College,831 F St,Eureka,CA
Fresno City College,1101 E. University Ave,Fresno,CA
Fresno Pacific University,1717 S. Chestnut Ave.,Fresno,CA
Fuller Theological Seminary,135 N Oakland Ave,Pasadena,CA
Fullerton College,321 E Chapman Avenue,Fullerton,CA
Galen College of Medical and Dental Assistants,1604 Ford Ave,Modesto,CA
Gavilan College,5055 Santa Teresa Blvd,Gilroy,CA
Gemological Institute of America,5345 Armada Dr,Carlsbad,CA
Glendale Community College,1500 N Verdugo Rd,Glendale,CA
Gateway Seminary,3210 East Guasti Road,Ontario,CA
Golden Gate University,536 Mission Street,San Francisco,CA
Golden West College,15744 Golden West,Huntington Beach,CA
Graduate Theological Union,2400 Ridge Rd,Berkeley,CA
Grossmont Adult School,1100 Murray Drive,El Cajon,CA
Grossmont College,8800 Grossmont College Dr,El Cajon,CA
Salon Success Academy - San Bernardino,"6780  Indiana Avenue, Suite #200",Riverside,CA
Harbor Occupational Center,740 N Pacific Ave,San Pedro,CA
Hartnell College,156 Homestead Ave,Salinas,CA
Harvey Mudd College,301 Platt Blvd.,Claremont,CA
Hilltop Beauty School,6317 Mission St,Daly City,CA
Holy Names University,3500 Mountain Blvd,Oakland,CA
Pacifica Graduate Institute,249 Lambert Rd,Carpinteria,CA
Humboldt State University,1 Harpst Street,Arcata,CA
Humphreys College,6650 Inglewood Avenue,Stockton,CA
Imperial Valley College,380 E. Aten Road,Imperial,CA
Institute for Business and Technology,2400 Walsh Avenue,Santa Clara,CA
ICR Graduate School,"10946 Woodside Avenue, North",Santee,CA
LA College International,3200 Wilshire Blvd. #400,Los Angeles,CA
Interior Designers Institute,1061 Camelback Rd,Newport Beach,CA
TONI & GUY Hairdressing Academy - Santa Monica,1358 5th Street,Santa Monica,CA
Irvine Valley College,5500 Irvine Center Drive,Irvine,CA
Bellus Academy - El Cajon,1073 E Main St,El Cajon,CA
John F Kennedy University,100 Ellinwood Way,Pleasant Hill,CA
American Jewish University,15600 Mulholland Dr,Los Angeles,CA
Reedley College,995 N Reed Ave,Reedley,CA
Life Pacific College,1100 W. Covina Blvd,San Dimas,CA
University of La Verne,1950 Third St,La Verne,CA
Laguna College of Art and Design,2222 Laguna Canyon Rd,Laguna Beach,CA
Lake Tahoe Community College,One College Drive,South Lake Tahoe,CA
Lancaster Beauty School,44646 N 10th St W,Lancaster,CA
Laney College,900 Fallon St,Oakland,CA
Lassen Community College,Hwy 139,Susanville,CA
Life Chiropractic College-West,25001 Industrial Blvd.,Hayward,CA
Lincoln University,401 15th Street,Oakland,CA
Southern California Seminary,2075 E. Madison Avenue,El Cajon,CA
La Sierra University,4500 Riverwalk Parkway,Riverside,CA
Loma Linda University,11060 Anderson Street,Loma Linda,CA
Long Beach City College,4901 E. Carson St.,Long Beach,CA
Southern California University of Health Sciences,16200 E Amber Valley Dr,Whittier,CA
Los Angeles Harbor College,1111 Figueroa Place,Wilmington,CA
Los Angeles Pierce College,6201 Winnetka Ave,Woodland Hills,CA
Los Angeles Southwest College,1600 W Imperial Hwy.,Los Angeles,CA
Los Angeles Trade Technical College,400 W Washington Blvd,Los Angeles,CA
Los Angeles Valley College,5800 Fulton Avenue,Valley Glen,CA
The Master's College and Seminary,21726 Placerita Canyon Road,Santa Clarita,CA
Los Angeles City College,855 N Vermont Ave,Los Angeles,CA
L.A. County Harbor/UCLA Medical Center,1000 West Carson Street,Torrance,CA
Los Angeles County College of Nursing and Allied Health,1237 N. Mission Rd.,Los Angeles,CA
Los Angeles Mission College,13356 Eldridge Avenue,Sylmar,CA
Los Medanos College,2700 East Leland Road,Pittsburg,CA
Loyola Marymount University,One LMU Drive,Los Angeles,CA
Manchester Beauty College,3756 N Blackstone Ave,Fresno,CA
Tulare Beauty College,1400 W Inyo St,Tulare,CA
Lytle's Redwood Empire Beauty College Inc,186 Wikiup Dr,Santa Rosa,CA
"MTI Business College of Stockton, Inc",6006 N. El Dorado Street,Stockton,CA
MTI College,5221 Madison Ave,Sacramento,CA
Brightwood College - Sacramento,"4330 Watt Ave., Suite 400",Sacramento,CA
Brightwood College - San Diego,9055 Balboa Avenue,San Diego,CA
Brightwood College - Vista,2022 University Drive,Vista,CA
College of Marin,835 College Ave,Kentfield,CA
Marinello School of Beauty - Los Angeles,1241 S. Soto Street Suite #101,Los Angeles,CA
Marymount California University,30800 Palos Verdes Dr. East,Rancho Palos Verdes,CA
Mendocino College,1000 Hensley Creek Road,Ukiah,CA
Menlo College,1000 El Camino Real,Atherton,CA
Fresno Pacific Biblical Seminary,1717 S Chestnut Ave,Fresno,CA
Merced College,3600 M St,Merced,CA
Merritt College,12500 Campus Dr,Oakland,CA
Mills College,5000 MacArthur Blvd,Oakland,CA
Miracosta College,One Barnard Dr,Oceanside,CA
Marinello School of Beauty - San Francisco,1035 Market Street,San Francisco,CA
Mission College,3000 Mission College Blvd,Santa Clara,CA
Modern Beauty Academy,699 South C St,Oxnard,CA
Brightwood College - North Hollywood,"6180 Laurel Canyon Blvd, Suite 101",North Hollywood,CA
Modesto Junior College,435 College Ave,Modesto,CA
Moler Barber College,3815 Telegraph Ave,Oakland,CA
Monterey Peninsula College,980 Fremont St,Monterey,CA
Montessori Teacher Education Center - San Francisco Bay Area,790 East Duane Avenue,Sunnyvale,CA
Montessori Center for Teacher Education,4544 Pocahontas Ave.,San Diego,CA
Montessori Western Teacher Training Program,5856 Belgrave Avenue,Garden Grove,CA
Moorpark College,7075 Campus Rd,Moorpark,CA
Moro Beauty College,124 North Brand Boulevard,Glendale,CA
Mt San Antonio College,1100 N Grand Ave,Walnut,CA
Mount Saint Mary's University,12001 Chalon Road,Los Angeles,CA
Mt San Jacinto College,1499 N State St,San Jacinto,CA
Mueller College,"123 Camino de la Reina, Suite 100 North",San Diego,CA
Musicians Institute,6752 Hollywood Boulevard,Hollywood,CA
Napa Valley College,2277 Napa-Vallejo Hwy,Napa,CA
Everest Institute - San Francisco,"814 Mission Street,  Suite 500",San Francisco,CA
Everest College - Reseda,"18040 Sherman Way, Suite 400",Reseda,CA
Everest College - Los Angeles,3460 Wilshire Blvd Ste 500,Los Angeles,CA
Everest Institute - San Jose,1245 South Winchester Blvd #102,San Jose,CA
Everest College - Gardena,"1045 W. Redondo Beach Boulevard, Suite 275",Gardena,CA
Everest College - Alhambra,2215 Mission Rd,Alhambra,CA
Everest College - San Bernardino,"217 Club Center Drive, Ste. A",San Bernardino,CA
The National Hispanic University,14271 Story Rd,San Jose,CA
National Holistic Institute,5900 Doyle Street,Emeryville,CA
